profil_id,messsystem,anteil,Nis_um,Nic_um,Ra_um,Rq_um,Rp_um,Rv_um,Rz_um,Rsk,Rku,Wa_um,Wq_um,Wp_um,Wv_um,Wz_um,Wsk,Wku
WSP00_L14_S2,NanoFocus,W,2.5,800.0,,,,,,,,0.15563112287263758,0.1907598998133474,0.4570801932819671,0.5058736923376409,0.962953885619608,-0.1468271263622473,2.706964263674962
WSP00_L1_S1,Perthometer,R,2.5,800.0,0.1825790327276087,0.22259439265842934,0.7154354923858766,0.48641973403078514,1.2018552264166618,0.232320468752432,2.4946970280830096,,,,,,,
WSP00_L1_S1,Perthometer,W,2.5,800.0,,,,,,,,0.274088068761414,0.36701294179846466,1.6903023132896378,1.015060387058377,2.7053627003480147,0.3304319264435086,5.477012507858489
WSP00_L1_S1,NanoFocus,R,2.5,800.0,0.24497583340444096,0.3003637566247644,1.2338230026425638,0.8134253053937262,2.04724830803629,0.303045571020761,2.7964084886059095,,,,,,,
WSP00_L1_S1,NanoFocus,W,2.5,800.0,,,,,,,,0.20822788251649574,0.25194706186609706,0.5592510697545593,0.5929568479446793,1.1522079176992386,-0.3606876488276815,2.463510606479044
WSP00_L1_S2,Perthometer,R,2.5,800.0,0.15205228454355385,0.18691772611520308,0.9552992021250619,0.5018991949398142,1.457198397064876,0.4377764964344868,2.9391922202032896,,,,,,,
WSP00_L1_S2,Perthometer,W,2.5,800.0,,,,,,,,0.16240958563476593,0.19632268952078288,0.4538065432692655,0.4820819272333966,0.9358884705026621,-0.10670656693566029,2.4243388554617504
WSP00_L1_S2,NanoFocus,R,2.5,800.0,0.3993403989862269,0.5044136503221573,2.0627743492156148,1.3662418802142775,3.4290162294298923,0.541945054790198,3.3048414889502435,,,,,,,
WSP00_L1_S2,NanoFocus,W,2.5,800.0,,,,,,,,0.17835438861440794,0.24345513541261762,0.5746309920247223,0.9294469493135871,1.5040779413383094,-0.6140831782313415,5.08762917027314
WSP00_L44_S1,Perthometer,R,2.5,800.0,0.1690820936432179,0.21667642331514655,0.4993675093235564,1.8683375424491395,2.367705051772696,-0.9144771016151902,12.935146409023478,,,,,,,
WSP00_L44_S1,Perthometer,W,2.5,800.0,,,,,,,,0.15320869729046419,0.1901058188773851,0.3874584553859906,0.5901638410352122,0.9776222964212029,-0.568085839285197,3.0689402663545553
WSP00_L44_S1,NanoFocus,R,2.5,800.0,0.3212662917805978,0.40891140942803417,1.6331350211415103,1.192338467846943,2.8254734889884534,0.7066731422993829,3.6910448946442282,,,,,,,
WSP00_L44_S1,NanoFocus,W,2.5,800.0,,,,,,,,0.1641010798482689,0.19405820804471105,0.45351460858893866,0.4701654872580638,0.9236800958470024,-0.29098685458636014,2.20702044089685
WSP00_L44_S2,Perthometer,R,2.5,800.0,0.14471664567874495,0.17249780995658365,0.4676914567545073,0.43165129975357686,0.8993427565080842,0.45628119171306547,2.274041279286954,,,,,,,
WSP00_L44_S2,Perthometer,W,2.5,800.0,,,,,,,,0.15659094620362987,0.19591519080990075,0.5107548526837546,0.44734244120544375,0.9580972938891984,0.18726004839604077,2.796769478654985
WSP00_L44_S2,NanoFocus,R,2.5,800.0,0.21599517198266127,0.2617787085118649,0.90490442071629,0.7894379905652233,1.6943424112815133,0.3608996051989156,2.6451839612879535,,,,,,,
WSP00_L44_S2,NanoFocus,W,2.5,800.0,,,,,,,,0.16078673662240542,0.19382015817359025,0.38001713296267,0.5522419346711203,0.9322590676337903,-0.5636144607308015,2.820555121793627
