profil_id,messsystem,signal,lambda_c_um,source_file,flank,pos_mm,Wa_um,Wq_um,Wp_um,Wv_um,Wz_um,Wsk,Wku
WSP00_S1_WSP00_L1_lead_pos139p35_right_id30_S1,KMG,z,800.0,WSP00_L1_lead_pos139p35_right_id30_S1.csv,S1,139.35,0.13495811968808372,0.1694017517394745,0.5377913052951713,0.5194289150417968,1.057220220336968,0.020202682934149833,3.4741994088028867
WSP00_S2_WSP00_L1_lead_pos139p81_left_id41_S2,KMG,dev,800.0,WSP00_L1_lead_pos139p81_left_id41_S2.csv,S2,139.81,0.4175958162070587,0.4734590263591167,0.8636063846413221,1.0113196910256237,1.874926075666946,-0.2482779665732406,1.791387415812772
WSP00_S2_WSP00_L1_lead_pos139p81_left_id41_S2,KMG,z,800.0,WSP00_L1_lead_pos139p81_left_id41_S2.csv,S2,139.81,0.10709142447226097,0.13632005253489513,0.3510106197283473,0.4031453368726706,0.7541559566010179,-0.486820792382596,3.1813167348132776
WSP00_S1_WSP00_L1_lead_pos139p81_right_id31_S1,KMG,dev,800.0,WSP00_L1_lead_pos139p81_right_id31_S1.csv,S1,139.81,0.4636566574898644,0.5116316741704455,1.280018317427132,0.9815492054079726,2.2615675228351044,-0.047707833035567845,1.7066178111980246
WSP00_S1_WSP00_L1_lead_pos139p81_right_id31_S1,KMG,z,800.0,WSP00_L1_lead_pos139p81_right_id31_S1.csv,S1,139.81,0.1786926580181399,0.22835994081719127,0.6888045543128389,0.8159824547720638,1.5047870090849027,-0.1862377780538684,3.6307844066835235
WSP00_S2_WSP00_L1_lead_pos140p27_left_id42_S2,KMG,dev,800.0,WSP00_L1_lead_pos140p27_left_id42_S2.csv,S2,140.27,0.44499824357084794,0.5260619860043538,1.4390615963306754,1.0178451780554336,2.456906774386109,-0.19932074234693992,2.210887667855074
WSP00_S2_WSP00_L1_lead_pos140p27_left_id42_S2,KMG,z,800.0,WSP00_L1_lead_pos140p27_left_id42_S2.csv,S2,140.27,0.10127770006756116,0.12690452308420286,0.4564450974653641,0.30449198052150045,0.7609370779868645,0.2712735286903761,3.426419859264026
WSP00_S1_WSP00_L1_lead_pos140p27_right_id32_S1,KMG,dev,800.0,WSP00_L1_lead_pos140p27_right_id32_S1.csv,S1,140.27,4.9857132604792005,8.115137688241733,34.36892593924239,4.0668653035897835,38.435791242832174,2.8188114764606946,9.830065983290924
WSP00_S1_WSP00_L1_lead_pos140p27_right_id32_S1,KMG,z,800.0,WSP00_L1_lead_pos140p27_right_id32_S1.csv,S1,140.27,1.371896588710795,1.7498202807157095,3.778557132594704,5.539781297913735,9.318338430508438,-0.13215687780746557,3.4959411653735866
WSP00_S2_WSP00_L1_lead_pos140p74_left_id43_S2,KMG,dev,800.0,WSP00_L1_lead_pos140p74_left_id43_S2.csv,S2,140.74,0.40492977890994514,0.4894988439018516,1.0131132859183287,1.1779752692663372,2.191088555184666,-0.4564048677369628,2.31667042426462
WSP00_S2_WSP00_L1_lead_pos140p74_left_id43_S2,KMG,z,800.0,WSP00_L1_lead_pos140p74_left_id43_S2.csv,S2,140.74,0.09472059232317921,0.11973478651372571,0.3543385455295329,0.3039422351603664,0.6582807806898994,-0.02737270167324085,2.8440052719892317
WSP00_S1_WSP00_L1_lead_pos140p74_right_id33_S1,KMG,dev,800.0,WSP00_L1_lead_pos140p74_right_id33_S1.csv,S1,140.74,1.0429560264445537,2.4214566409167526,14.218561692982622,1.4411634738860115,15.659725166868633,4.511451314694044,23.16472458101475
WSP00_S1_WSP00_L1_lead_pos140p74_right_id33_S1,KMG,z,800.0,WSP00_L1_lead_pos140p74_right_id33_S1.csv,S1,140.74,0.535963692293276,0.8640517485230335,1.452483528798567,4.011586445478841,5.4640699742774075,-2.1401836594281325,11.169968087876502
WSP00_S2_WSP00_L40_lead_pos138p42_left_id45_S2,KMG,dev,800.0,WSP00_L40_lead_pos138p42_left_id45_S2.csv,S2,138.42,2.1948288245666623,2.58000953895104,4.714462070125962,4.217486228341991,8.931948298467953,0.08126587898834703,1.92459577933627
WSP00_S2_WSP00_L40_lead_pos138p42_left_id45_S2,KMG,z,800.0,WSP00_L40_lead_pos138p42_left_id45_S2.csv,S2,138.42,0.09205546904967567,0.11748765055011093,0.45418788851137304,0.29493381935148716,0.7491217078628603,0.2869262402532415,4.031658831655965
WSP00_S1_WSP00_L40_lead_pos138p42_right_id44_S1,KMG,dev,800.0,WSP00_L40_lead_pos138p42_right_id44_S1.csv,S1,138.42,0.28481125951158076,0.3845296843849955,0.6007443589622647,1.309155269252061,1.9098996282143257,-1.3233554419440066,4.313524309471611
WSP00_S1_WSP00_L40_lead_pos138p42_right_id44_S1,KMG,z,800.0,WSP00_L40_lead_pos138p42_right_id44_S1.csv,S1,138.42,0.12448996914958395,0.16677366923209194,0.6577572789424383,0.42949776108887644,1.0872550400313148,0.5102917680124605,4.4688242154933056
