;Sku;Str;Ssk;Smrk2;Smrk1;Sdr;Sdq;Sp;Spk;Vmp;Sv;Sz;Svk;Vvv;Sa;Sq;Sk;Sxp;Vmc;Vvc;Sal
Sv;0.02541177288961639;0.21359151020551162;0.030658467076646167;0.02066563338499742;0.13920553972301386;0.2850679383839027;0.18671827602649718;0.03063545452864343;0.1697822085639904;0.09677346321363177;0.0;0.0008076519250960529;0.0008076519250960529;0.0008076519250960529;0.006299685015749212;0.0022967601619919005;0.051747412629368536;0.12581574311114951;0.01761776317963763;0.10917595713134698;0.6283261255931616
Sz;0.0071587329724422865;0.07559622018899055;0.16307517957435463;0.05630487706383912;0.42451581124647464;0.0978978828836336;0.08613646987553536;0.0011249437528123593;0.03063545452864343;0.013027126421456705;0.0008076519250960529;0.0;0.006658203675182096;0.0017499125043747813;0.0017499125043747813;0.0004999750012499375;0.03230607700384212;0.03230607700384212;0.010499475026248685;0.04212914354282286;0.5819453345514543
Svk;0.035485567493777216;0.05630487706383912;0.0034998250087495625;0.0004999750012499375;0.01639391714624795;0.648867556622169;0.5802909854507274;0.10917595713134698;0.45828958552072396;0.31004741153670795;0.0008076519250960529;0.006658203675182096;0.0;0.0004999750012499375;0.007466293351999066;0.0032998350082495877;0.05630487706383912;0.32458574439699067;0.01424928753562322;0.20470087606730775;0.7148110336418663
Vvv;0.058023414618742754;0.10917595713134698;0.020321564566932942;0.004144529615624482;0.058023414618742754;0.452489423721585;0.38077210063547456;0.04653471030152196;0.2438295351419479;0.14851676771000158;0.0008076519250960529;0.0017499125043747813;0.0004999750012499375;0.0;0.0004999750012499375;0.0004999750012499375;0.010070925025177313;0.12204517979229243;0.0008076519250960529;0.06266874156292186;0.41117509341924213
Sa;0.25071246437678113;0.41117509341924213;0.29055690072639223;0.14404238465762662;0.25169164077007417;0.15421628918554073;0.08039303917157085;0.013172068669293806;0.048271976645070186;0.023385194376644807;0.006299685015749212;0.0017499125043747813;0.007466293351999066;0.0004999750012499375;0.0;0.0004999750012499375;0.0004999750012499375;0.002779272801065829;0.0004999750012499375;0.0004999750012499375;0.10585379821917995
Sq;0.14851676771000158;0.29645162037200157;0.1697822085639904;0.07559622018899055;0.2160761527141034;0.14851676771000158;0.08039303917157085;0.013027126421456705;0.05751886318727542;0.02744862756862157;0.0022967601619919005;0.0004999750012499375;0.0032998350082495877;0.0004999750012499375;0.0004999750012499375;0.0;0.0004999750012499375;0.008265544169600032;0.0004999750012499375;0.0011249437528123593;0.18283296361497714
Sk;0.7932077080356509;0.9815480099781418;0.5468830604712539;0.39132005663867747;0.29645162037200157;0.2581549244216111;0.12119652638057751;0.0972428014113313;0.1204244135619306;0.06985365017463413;0.051747412629368536;0.03230607700384212;0.05630487706383912;0.010070925025177313;0.0004999750012499375;0.0004999750012499375;0.0;0.002545327279090591;0.0004999750012499375;0.0004999750012499375;0.05630487706383912
Sxp;0.6178764095503091;0.8797254437796245;0.7148110336418663;1.0;0.7551761449360687;0.018024098795060246;0.00397277433425626;0.006749662516874156;0.0008076519250960529;0.0004999750012499375;0.12581574311114951;0.03230607700384212;0.32458574439699067;0.12204517979229243;0.002779272801065829;0.008265544169600032;0.002545327279090591;0.0;0.0022967601619919005;0.0004999750012499375;0.3098045097745113
Vmc;0.43525096472449104;0.6716221565970881;0.34075568948825286;0.17809033212461514;0.21359151020551162;0.2850679383839027;0.13887540917071794;0.051747412629368536;0.09267805840477207;0.053596157401432254;0.01761776317963763;0.010499475026248685;0.01424928753562322;0.0008076519250960529;0.0004999750012499375;0.0004999750012499375;0.0004999750012499375;0.0022967601619919005;0.0;0.0004999750012499375;0.058023414618742754
Vvc;0.7879050491919848;0.8835015102036775;0.9834508274586271;0.8199433778311085;0.8835015102036775;0.09389530523473827;0.022291193132651058;0.052497375131243446;0.02541177288961639;0.013027126421456705;0.10917595713134698;0.04212914354282286;0.20470087606730775;0.06266874156292186;0.0004999750012499375;0.0011249437528123593;0.0004999750012499375;0.0004999750012499375;0.0004999750012499375;0.0;0.06635235248546852
