;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smrk1;Smrk2;Sxp;Vmp;Vmc;Vvv;Vvc
Str;0.07164641767911605;0.06994650267486625;0.36623168841557924;0.029248537573121344;0.07639618019099045;0.00199990000499975;0.03009849507524624;0.26548672566371684;0.263986800659967;0.0018999050047497626;0.0;0.08189590520473976;0.5720213989300535;0.019449027548622568;0.0012499375031248437;0.008699565021748913;0.2691865406729664;0.5905704714764262;0.06329683515824208;0.027848607569621518;0.1432928353582321
Sk;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;0.020448977551122443;0.0014999250037498126;4.999750012499375e-05;4.999750012499375e-05;0.011299435028248588;0.08009599520024;0.0;9.99950002499875e-05;4.999750012499375e-05;0.087995600219989;0.002999850007499625;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05
Spk;9.99950002499875e-05;4.999750012499375e-05;4.999750012499375e-05;0.001399930003499825;0.000199990000499975;0.37458127093645316;0.008049597520123995;4.999750012499375e-05;4.999750012499375e-05;0.22658867056647167;0.5806209689515525;4.999750012499375e-05;0.0;0.008199590020498975;0.8740562971851408;0.13504324783760813;4.999750012499375e-05;4.999750012499375e-05;0.000199990000499975;0.002849857507124644;4.999750012499375e-05
Svk;4.999750012499375e-05;4.999750012499375e-05;0.0016499175041247937;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;0.00014999250037498125;0.00039998000099995;0.0002999850007499625;0.004049797510124494;0.019799010049497526;0.00024998750062496874;0.00759962001899905;0.0;0.004949752512374382;4.999750012499375e-05;0.0014999250037498126;0.006049697515124244;4.999750012499375e-05;4.999750012499375e-05;0.0007499625018749063
Smrk1;0.08419579021048948;0.09889505524723764;0.5497725113744313;0.014799260036998151;0.05804709764511774;4.999750012499375e-05;0.01894905254737263;0.23173841307934603;0.22713864306784662;0.00024998750062496874;0.0017499125043747813;0.09334533273336333;0.8770561471926404;0.0039998000099995;0.0;4.999750012499375e-05;0.48722563871806407;0.7588120593970301;0.05304734763261837;0.0087995600219989;0.24133793310334484
Smrk2;0.00279986000699965;0.0026998650067496625;0.0415979201039948;0.00024998750062496874;0.00119994000299985;4.999750012499375e-05;0.0008499575021248938;0.013099345032748363;0.013949302534873257;9.99950002499875e-05;0.007699615019249037;0.0031998400079996;0.13559322033898305;4.999750012499375e-05;4.999750012499375e-05;0.0;0.03984800759962002;0.1008449577521124;0.0015499225038748063;9.99950002499875e-05;0.010049497525123744
Sxp;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;0.14064296785160743;0.005499725013749313;4.999750012499375e-05;4.999750012499375e-05;0.08984550772461376;0.2657867106644668;4.999750012499375e-05;4.999750012499375e-05;0.0014999250037498126;0.4848257587120644;0.03959802009899505;0.0;4.999750012499375e-05;4.999750012499375e-05;0.00039998000099995;4.999750012499375e-05
Vmp;0.00014999250037498125;9.99950002499875e-05;4.999750012499375e-05;0.000999950002499875;4.999750012499375e-05;0.31998400079996;0.009149542522873857;4.999750012499375e-05;4.999750012499375e-05;0.20693965301734912;0.5856207189640518;4.999750012499375e-05;4.999750012499375e-05;0.005449727513624319;0.7661116944152793;0.10119494025298735;4.999750012499375e-05;0.0;4.999750012499375e-05;0.0020998950052497373;4.999750012499375e-05
Vmc;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.014649267536623168;0.001399930003499825;4.999750012499375e-05;9.99950002499875e-05;0.006749662516874156;0.06504674766261687;4.999750012499375e-05;9.99950002499875e-05;9.99950002499875e-05;0.0519974001299935;0.0017499125043747813;4.999750012499375e-05;9.99950002499875e-05;0.0;4.999750012499375e-05;4.999750012499375e-05
Vvv;4.999750012499375e-05;4.999750012499375e-05;0.00034998250087495624;4.999750012499375e-05;4.999750012499375e-05;0.0010499475026248687;0.000199990000499975;9.99950002499875e-05;0.00014999250037498125;0.002199890005499725;0.026998650067496625;4.999750012499375e-05;0.0023998800059997;4.999750012499375e-05;0.007649617519124044;4.999750012499375e-05;0.00039998000099995;0.0014999250037498126;4.999750012499375e-05;0.0;4.999750012499375e-05
Vvc;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.05269736513174341;0.002449877506124694;4.999750012499375e-05;9.99950002499875e-05;0.03969801509924504;0.14764261786910654;4.999750012499375e-05;4.999750012499375e-05;0.00044997750112494374;0.24148792560371982;0.01184940752962352;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;0.0
