;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smrk1;Smrk2;Sxp;Vmp;Vmc;Vvv;Vvc
Sk;4.999750012499375e-05;4.999750012499375e-05;0.050597470126493675;0.0199990000499975;0.011499425028748563;0.45542722863856805;0.7149142542872856;0.17554122293885305;0.06519674016299185;0.025648717564121792;0.9642517874106294;0.0;0.06594670266486675;0.024348782560871956;0.2103394830258487;0.29628518574071294;0.00039998000099995;0.03259837008149592;4.999750012499375e-05;0.0023498825058747065;4.999750012499375e-05
Spk;0.018849057547122645;0.02454877256137193;4.999750012499375e-05;0.0991950402479876;0.009149542522873857;0.4391780410979451;0.11309434528273586;0.0025498725063746812;0.0016499175041247937;0.9261536923153842;0.2702864856757162;0.06589670516474176;0.0;0.3655817209139543;0.255787210639468;1.0;9.99950002499875e-05;4.999750012499375e-05;0.04589770511474426;0.16139193040347982;0.008249587520623968
Svk;0.0015499225038748063;0.0005499725013749313;0.06094695265236738;4.999750012499375e-05;0.0007999600019999;0.00039998000099995;0.010949452527373631;0.5537223138843058;0.4922253887305635;0.6302184890755462;0.02759862006899655;0.02624868756562172;0.3702814859257037;0.0;0.004449777511124443;4.999750012499375e-05;0.23493825308734564;0.22293885305734712;0.003799810009499525;4.999750012499375e-05;0.13159342032898355
Smrk1;0.1711414429278536;0.14499275036248188;0.9508524573771311;0.07719614019299036;0.3180340982950852;0.0023498825058747065;0.5749212539373031;0.45097745112744364;0.327683615819209;0.4486775661216939;0.1615919204039798;0.2056897155142243;0.25473726313684314;0.00439978001099945;0.0;0.008349582520873956;0.6724663766811659;0.464226788660567;0.13869306534673267;0.02599870006499675;0.8250587470626468
Smrk2;0.07899605019749012;0.03694815259237038;0.3273336333183341;0.004649767511624419;0.028198590070496476;9.99950002499875e-05;0.00439978001099945;0.9376031198440078;0.9634518274086296;0.6684665766711665;0.011249437528123594;0.29303534823258837;1.0;4.999750012499375e-05;0.008849557522123894;0.0;1.0;0.8288085595720214;0.11109444527773611;0.0007499625018749063;0.7496625168741563
Sxp;0.00039998000099995;0.001399930003499825;0.00119994000299985;0.07454627268636568;0.012049397530123494;0.6338683065846707;0.528223588820559;0.005549722513874306;0.00044997750112494374;0.22103894805259738;0.8151092445377731;0.0006499675016249188;9.99950002499875e-05;0.2273386330683466;0.6632668366581671;1.0;0.0;4.999750012499375e-05;0.00034998250087495624;0.0679966001699915;4.999750012499375e-05
Vmp;0.006949652517374131;0.010599470026498675;4.999750012499375e-05;0.04854757262136893;0.0034998250087495625;0.5791210439478026;0.11074446277686116;0.0035498225088745564;0.0019499025048747563;0.8762561871906405;0.24618769061546922;0.03169841507924604;4.999750012499375e-05;0.22813859307034648;0.4579771011449428;0.8306084695765211;4.999750012499375e-05;0.0;0.021948902554872255;0.08654567271636418;0.0033498325083745812
Vmc;4.999750012499375e-05;4.999750012499375e-05;0.021098945052747363;0.005149742512874356;0.002449877506124694;0.25003749812509374;0.3400329983500825;0.20588970551472427;0.0823958802059897;0.024448777561121945;0.5896205189740513;4.999750012499375e-05;0.04809759512024399;0.0039998000099995;0.1351432428378581;0.1127943602819859;0.0010499475026248687;0.021898905054747262;0.0;9.99950002499875e-05;4.999750012499375e-05
Vvv;9.99950002499875e-05;4.999750012499375e-05;0.01654917254137293;9.99950002499875e-05;9.99950002499875e-05;0.005699715014249288;0.02359882005899705;0.3528323583820809;0.2915354232288386;0.3182340882955852;0.055897205139743014;0.002999850007499625;0.16034198290085497;4.999750012499375e-05;0.023498825058747064;0.0006499675016249188;0.06709664516774161;0.09159542022898855;0.00024998750062496874;0.0;0.02864856757162142
Vvc;9.99950002499875e-05;0.0002999850007499625;0.01959902004899755;0.05849707514624269;0.016999150042497874;0.9690515474226289;0.7145642717864107;0.04359782010899455;0.0073496325183740815;0.029598520073996302;0.8286585670716464;4.999750012499375e-05;0.007099645017749113;0.1318934053297335;0.8251087445627718;0.7450627468626568;4.999750012499375e-05;0.004649767511624419;4.999750012499375e-05;0.027648617569121545;0.0
