dataset;messsystem;filtercase;datei;cropped_to;cropped_to;Sa;Sal;Sdq;Sdr;Sk;Sku;Smr1;Smr2;Sp;Spk;Sq;Ssk;Str;Sv;Svk;Sxp;Sz;Vmc;Vmp;Vvc;Vvv
WSP00;Keyence;vergleich;WSP00_L13_S2.sdf;WSP00_L13_S2.nms;WSP00_L13_S2.nms;0.9083685422823052;22.473642807316637;0.16537080333340867;1.8315672955554252;2.570940395844543;9.228932255578401;10.015760435147445;88.36897326705517;9.919878987215963;1.6954355054257466;1.3074703897890165;-0.4892458193538207;0.8404622240595239;11.235714979059809;2.034663922671259;2.2994070153325312;21.155593966275774;0.918205252698963;0.08469448712392039;1.2297222701404786;0.18377577737303313
WSP00;Keyence;vergleich;WSP00_L14_S1.sdf;WSP00_L14_S1.nms;WSP00_L14_S1.nms;0.6841384607111092;14.926713044792901;0.12726223069958995;1.3221616378422452;2.208738572934225;3.209753742156716;9.441041648226868;89.83343082815593;3.3406982060466373;0.772257678845087;0.8657212417910075;-0.16106312473012094;0.43784451311730926;4.022097086565281;0.9550033259976487;1.6451401452215235;7.362795292611918;0.7678660465777363;0.03916818542709858;1.0251955679061229;0.10540992321070254
WSP00;Keyence;vergleich;WSP00_L14_S2.sdf;WSP00_L14_S2.nms;WSP00_L14_S2.nms;1.0795702166414909;20.259660919784324;0.2156157882373764;2.7565477237539993;3.0728367637318112;7.980393576639145;10.224926121761643;88.49527285808425;10.8294987505278;2.202974090687363;1.5327543402999533;0.05103703625707088;0.6700889777140401;10.562392041463765;2.171430203010025;2.9129893623923975;21.391890791991564;1.097561279770675;0.11068338204292802;1.4829424181888318;0.20332202974109825
WSP00;Keyence;vergleich;WSP00_L1_S1.sdf;WSP00_L1_S1.nms;WSP00_L1_S1.nms;0.6646998544666172;12.929156194011783;0.1362655336774476;1.4395781858319356;2.147979521633801;3.116314159045806;9.533678503737336;89.84189472557122;3.4295379706728317;0.777668689813282;0.839308587252382;-0.09342394474907668;0.48190641337038836;3.51327433009675;0.8793183110008345;1.6132732359718456;6.942812300769582;0.7498748767953305;0.03937259192016205;0.9999221999628988;0.0994757823220368
WSP00;Keyence;vergleich;WSP00_L1_S2.sdf;WSP00_L1_S2.nms;WSP00_L1_S2.nms;0.7107631671856506;22.33638019165939;0.11664874807903527;1.191702773891734;2.16681024342124;6.294968931790717;9.708162556152258;89.41099084667796;6.154822398963665;1.171071550762899;0.9594184745004544;-0.0013107828753262068;0.6435275060694545;5.53785479359734;1.222799127490149;1.76164452156052;11.692677192561005;0.7572265418548498;0.05833947457819089;1.0180728876020286;0.12058301289757413
WSP00;Keyence;vergleich;WSP00_L44_S1.sdf;WSP00_L44_S1.nms;WSP00_L44_S1.nms;0.9189364202769778;18.187755052120245;0.1664168712694296;1.8986775866973504;2.8704105106216007;4.00140179771113;9.469008428986074;89.08155214659604;5.338376272090428;1.1299085486785643;1.189970933569082;-0.33163047076090413;0.692439238665207;6.469005665598792;1.51553205217439;2.205305006530518;11.80738193768922;1.0126212143152329;0.056936928007898645;1.3385829488231584;0.1556895516142321
WSP00;Keyence;vergleich;WSP00_L44_S2.sdf;WSP00_L44_S2.nms;WSP00_L44_S2.nms;0.8948533421527061;17.483954669631455;0.1746574289124943;2.015027341284803;2.6193420550831634;6.135768838333051;10.404367864636837;88.76026547047753;8.442384265634848;1.9022601286545797;1.2256584101351844;0.5548563656389192;0.5667638802865759;6.473888256761313;1.3917112573499633;2.6105749145211625;14.916272522396161;0.9379042196123271;0.09607453038443145;1.2746262790113778;0.1444438160930404
WSP03;Keyence;vergleich;WSP03_L13_S1.sdf;WSP03_L13_S1.nms;WSP03_L13_S1.nms;0.699097567546293;11.600198490656332;0.14303329837406717;1.5336821367807563;2.2922708666922516;2.9452198492738173;9.834804787857264;90.77255951586359;3.341183602445877;0.8727554227574462;0.8760186600490442;0.07618881147238804;0.10826802218004386;3.2439457580900593;0.7821639665461114;1.7764270022561883;6.5851293605359364;0.7909362266875246;0.04376494387401156;1.0768040430668209;0.09494819014017411
WSP03;Keyence;vergleich;WSP03_L13_S2.sdf;WSP03_L13_S2.nms;WSP03_L13_S2.nms;0.7141271902702726;17.336544594789608;0.1271386620557014;1.322683920028922;2.263629234576794;3.406385766288008;9.770648849242775;89.5558265277571;3.7957404420023013;0.8828868884824813;0.9123087863832365;-0.1483145492030574;0.12910378077376297;4.522903462437773;1.048591904326429;1.7571277813783568;8.318643904440075;0.7929090701879034;0.044363366144975866;1.0632301066561214;0.11332664152417252
WSP03;Keyence;vergleich;WSP03_L14_S1.sdf;WSP03_L14_S1.nms;WSP03_L14_S1.nms;0.6639232155115367;10.183349230221031;0.14506453812877126;1.5554946649353196;2.174552714399476;2.9213708960712577;9.775563162595457;90.50602368611871;2.9779840601148724;0.7867870491722511;0.8318405078351394;0.010228973358297621;0.09688597000329241;3.441359746230443;0.7743474912849282;1.6544698648802358;6.419343806345315;0.7519426988456273;0.03953392840963969;1.018704958131684;0.0929738189114118
